Temperature,Emean,Cv,Mabsmean,X
1.00000000e+00,-1.87000000e+00,0.00000000e+00,9.65000000e-01,0.00000000e+00
2.00000000e+00,-1.82000000e+00,-1.74595000e+02,9.50000000e-01,-9.30775000e+01
3.00000000e+00,-1.77666667e+00,-9.79782716e+01,9.26666667e-01,-8.00770370e+01
4.00000000e+00,-1.74250000e+00,-5.90976562e+01,9.10000000e-01,-6.43200000e+01
5.00000000e+00,-1.71200000e+00,-3.88051840e+01,8.95000000e-01,-5.29264000e+01
6.00000000e+00,-1.67000000e+00,-2.70403704e+01,8.80833333e-01,-4.44344907e+01
7.00000000e+00,-1.64142857e+00,-1.94741858e+01,8.67142857e-01,-3.79374052e+01
8.00000000e+00,-1.59625000e+00,-1.46450879e+01,8.49375000e-01,-3.27867383e+01
9.00000000e+00,-1.56555556e+00,-1.11474775e+01,8.35555556e-01,-2.84333471e+01
1.00000000e+01,-1.54200000e+00,-8.80349600e+00,8.23000000e-01,-2.50767600e+01
1.10000000e+01,-1.51636364e+00,-7.12407076e+00,8.08181818e-01,-2.23111946e+01
1.20000000e+01,-1.50666667e+00,-5.85197531e+00,8.00833333e-01,-1.99378009e+01
1.30000000e+01,-1.49692308e+00,-4.95689087e+00,7.90384615e-01,-1.81750933e+01
1.40000000e+01,-1.47857143e+00,-4.23743857e+00,7.78214286e-01,-1.65188666e+01
1.50000000e+01,-1.47000000e+00,-3.62560000e+00,7.69666667e-01,-1.50458696e+01
1.60000000e+01,-1.45875000e+00,-3.16241455e+00,7.60312500e-01,-1.38512524e+01
1.70000000e+01,-1.44882353e+00,-2.76982891e+00,7.53823529e-01,-1.27858111e+01
1.80000000e+01,-1.43611111e+00,-2.44410646e+00,7.49444444e-01,-1.19189883e+01
1.90000000e+01,-1.42894737e+00,-2.16392600e+00,7.45789474e-01,-1.11971599e+01
2.00000000e+01,-1.42100000e+00,-1.93859600e+00,7.40000000e-01,-1.05551000e+01
2.10000000e+01,-1.41857143e+00,-1.74418930e+00,7.35952381e-01,-9.92754562e+00
2.20000000e+01,-1.41500000e+00,-1.58727836e+00,7.34318182e-01,-9.39909936e+00
2.30000000e+01,-1.41391304e+00,-1.44812533e+00,7.34347826e-01,-8.97006411e+00
2.40000000e+01,-1.41375000e+00,-1.33045247e+00,7.36666667e-01,-8.61122685e+00
2.50000000e+01,-1.41600000e+00,-1.22791680e+00,7.40000000e-01,-8.33126400e+00
2.60000000e+01,-1.41923077e+00,-1.14063758e+00,7.43269231e-01,-8.09648100e+00
2.70000000e+01,-1.42111111e+00,-1.06421040e+00,7.44814815e-01,-7.88038460e+00
2.80000000e+01,-1.42000000e+00,-9.93569606e-01,7.44821429e-01,-7.64195199e+00
2.90000000e+01,-1.41862069e+00,-9.25952768e-01,7.42586207e-01,-7.38606134e+00
3.00000000e+01,-1.41866667e+00,-8.64623012e-01,7.40666667e-01,-7.10595037e+00
3.10000000e+01,-1.41774194e+00,-8.10683200e-01,7.38709677e-01,-6.84872075e+00
3.20000000e+01,-1.41312500e+00,-7.60359039e-01,7.34218750e-01,-6.60017365e+00
3.30000000e+01,-1.40424242e+00,-7.10334128e-01,7.29848485e-01,-6.32885244e+00
3.40000000e+01,-1.39911765e+00,-6.61949180e-01,7.27205882e-01,-6.07978043e+00
3.50000000e+01,-1.39828571e+00,-6.20923175e-01,7.25571429e-01,-5.87003638e+00
3.60000000e+01,-1.40000000e+00,-5.86663237e-01,7.26805556e-01,-5.68640968e+00
3.70000000e+01,-1.40135135e+00,-5.57183721e-01,7.27837838e-01,-5.55601110e+00
3.80000000e+01,-1.39789474e+00,-5.29547080e-01,7.26710526e-01,-5.42905434e+00
3.90000000e+01,-1.39205128e+00,-5.00383109e-01,7.24743590e-01,-5.27610192e+00
4.00000000e+01,-1.38975000e+00,-4.72288766e-01,7.22125000e-01,-5.11854516e+00
4.10000000e+01,-1.38853659e+00,-4.48361387e-01,7.20000000e-01,-4.96161214e+00
4.20000000e+01,-1.38500000e+00,-4.26670176e-01,7.16190476e-01,-4.81392506e+00
4.30000000e+01,-1.38023256e+00,-4.05118555e-01,7.11046512e-01,-4.65012917e+00
4.40000000e+01,-1.37886364e+00,-3.84641514e-01,7.07272727e-01,-4.48621948e+00
4.50000000e+01,-1.37822222e+00,-3.67209184e-01,7.03666667e-01,-4.34263309e+00
4.60000000e+01,-1.37500000e+00,-3.51178803e-01,7.00978261e-01,-4.20919547e+00
4.70000000e+01,-1.37340426e+00,-3.35044238e-01,6.99468085e-01,-4.09200784e+00
4.80000000e+01,-1.37250000e+00,-3.20643084e-01,6.96875000e-01,-3.98955621e+00
4.90000000e+01,-1.37142857e+00,-3.07414768e-01,6.95612245e-01,-3.88283521e+00
5.00000000e+01,-1.37020000e+00,-2.94900166e-01,6.94600000e-01,-3.79318928e+00
5.10000000e+01,-1.37039216e+00,-2.83065511e-01,6.93235294e-01,-3.70914399e+00
5.20000000e+01,-1.37057692e+00,-2.72464205e-01,6.92980769e-01,-3.62561568e+00
5.30000000e+01,-1.37037736e+00,-2.62447275e-01,6.93584906e-01,-3.55579297e+00
5.40000000e+01,-1.37370370e+00,-2.52753241e-01,6.95462963e-01,-3.49603382e+00
5.50000000e+01,-1.37454545e+00,-2.44986894e-01,6.96636364e-01,-3.45309385e+00
5.60000000e+01,-1.37553571e+00,-2.36681432e-01,6.97500000e-01,-3.40425064e+00
5.70000000e+01,-1.37245614e+00,-2.28793192e-01,6.97192982e-01,-3.35414578e+00
5.80000000e+01,-1.36931034e+00,-2.20047004e-01,6.96379310e-01,-3.29420456e+00
5.90000000e+01,-1.36406780e+00,-2.11621590e-01,6.94406780e-01,-3.23050224e+00
6.00000000e+01,-1.35800000e+00,-2.03055259e-01,6.92500000e-01,-3.15966389e+00
6.10000000e+01,-1.35344262e+00,-1.94860051e-01,6.91065574e-01,-3.09227028e+00
6.20000000e+01,-1.35241935e+00,-1.87533589e-01,6.91048387e-01,-3.03141188e+00
