Temperature, Emean, Cv, Mabsmean, X
2.00000000e+00,-1.74474370e+00,7.72502001e-01,9.10111205e-01,9.97321132e-01
2.00500000e+00,-1.74122993e+00,7.76746129e-01,9.08843793e-01,8.39103325e-01
2.01000000e+00,-1.73708086e+00,8.09542906e-01,9.05290994e-01,3.02401782e+00
2.01500000e+00,-1.73368093e+00,8.18626113e-01,9.03972175e-01,2.64716839e+00
2.02000000e+00,-1.72995328e+00,8.04255125e-01,9.03279534e-01,1.09549861e+00
2.02500000e+00,-1.72624180e+00,8.00232517e-01,9.01986184e-01,6.77352651e-01
2.03000000e+00,-1.72170899e+00,8.95283712e-01,8.96518064e-01,5.46569662e+00
2.03500000e+00,-1.71847431e+00,8.34052918e-01,8.97929062e-01,9.96647527e-01
2.04000000e+00,-1.71437868e+00,8.46255464e-01,8.95945055e-01,1.24845372e+00
2.04500000e+00,-1.71032259e+00,8.64782290e-01,8.93727389e-01,1.40742940e+00
2.05000000e+00,-1.70617079e+00,8.72304426e-01,8.91890568e-01,1.22656204e+00
2.05500000e+00,-1.70198720e+00,8.92633532e-01,8.89182267e-01,1.82605698e+00
2.06000000e+00,-1.69765069e+00,9.05535051e-01,8.86901599e-01,1.67621346e+00
2.06500000e+00,-1.69359148e+00,8.94295692e-01,8.85641898e-01,1.00729107e+00
2.07000000e+00,-1.68884937e+00,9.40847358e-01,8.82055959e-01,2.22349284e+00
2.07500000e+00,-1.68461085e+00,9.61581088e-01,8.79539169e-01,3.02354339e+00
2.08000000e+00,-1.68023605e+00,9.49087932e-01,8.78072153e-01,1.48058957e+00
2.08500000e+00,-1.67570666e+00,9.58961225e-01,8.76052524e-01,1.18189894e+00
2.09000000e+00,-1.66992596e+00,1.07126722e+00,8.66307236e-01,1.02915643e+01
2.09500000e+00,-1.66659693e+00,9.86421178e-01,8.70866846e-01,1.41127826e+00
2.10000000e+00,-1.66182097e+00,9.83079703e-01,8.68485548e-01,1.32830482e+00
2.10500000e+00,-1.65677931e+00,1.02179626e+00,8.64692054e-01,2.31359282e+00
2.11000000e+00,-1.65149709e+00,1.05289644e+00,8.60380358e-01,3.69497974e+00
2.11500000e+00,-1.64616762e+00,1.08024675e+00,8.57014545e-01,3.61049022e+00
2.12000000e+00,-1.64105191e+00,1.06263155e+00,8.54679335e-01,2.07151619e+00
2.12500000e+00,-1.63605031e+00,1.07200946e+00,8.51873049e-01,2.05297494e+00
2.13000000e+00,-1.63052371e+00,1.10119283e+00,8.48132873e-01,2.08724222e+00
2.13500000e+00,-1.62528170e+00,1.14648222e+00,8.43812774e-01,3.93884920e+00
2.14000000e+00,-1.61951495e+00,1.19538375e+00,8.36728980e-01,9.22627078e+00
2.14500000e+00,-1.61485583e+00,1.12189038e+00,8.38843772e-01,1.82901684e+00
2.15000000e+00,-1.60917654e+00,1.16953594e+00,8.34754414e-01,2.28561360e+00
2.15500000e+00,-1.60373397e+00,1.18838381e+00,8.30591653e-01,3.07524626e+00
2.16000000e+00,-1.59822532e+00,1.19945823e+00,8.27187354e-01,2.85979872e+00
2.16500000e+00,-1.59209490e+00,1.21732307e+00,8.22713435e-01,2.97596388e+00
2.17000000e+00,-1.58556196e+00,1.26699338e+00,8.17060093e-01,3.11210941e+00
2.17500000e+00,-1.57953337e+00,1.28701774e+00,8.12617343e-01,3.66992411e+00
2.18000000e+00,-1.57310524e+00,1.30400868e+00,8.07570322e-01,3.70120064e+00
2.18500000e+00,-1.56564873e+00,1.37004634e+00,7.98853651e-01,6.60720042e+00
2.19000000e+00,-1.55958356e+00,1.37807877e+00,7.95847390e-01,4.35807022e+00
2.19500000e+00,-1.55332602e+00,1.40464907e+00,7.91064630e-01,5.01697985e+00
2.20000000e+00,-1.54570073e+00,1.42693454e+00,7.83255763e-01,5.13085277e+00
2.20500000e+00,-1.53986309e+00,1.43658356e+00,7.78828000e-01,5.58935928e+00
2.21000000e+00,-1.53273933e+00,1.49860219e+00,7.71457808e-01,7.65943417e+00
2.21500000e+00,-1.52397971e+00,1.52238055e+00,7.62735931e-01,6.31153653e+00
2.22000000e+00,-1.51583654e+00,1.61662802e+00,7.53744592e-01,7.66100956e+00
2.22500000e+00,-1.50972344e+00,1.63339140e+00,7.47808337e-01,9.34105074e+00
2.23000000e+00,-1.49921441e+00,1.82500746e+00,7.26818220e-01,1.86497200e+01
2.23500000e+00,-1.49189527e+00,1.83332643e+00,7.19538535e-01,1.93718521e+01
2.24000000e+00,-1.48262352e+00,1.86898145e+00,7.06646458e-01,1.94862460e+01
2.24500000e+00,-1.47483875e+00,1.78388194e+00,7.00071728e-01,1.87408507e+01
2.25000000e+00,-1.46417884e+00,1.96892126e+00,6.76324851e-01,2.88327779e+01
2.25500000e+00,-1.45198640e+00,2.11132888e+00,6.48830377e-01,3.78735654e+01
2.26000000e+00,-1.44338914e+00,2.18360513e+00,6.41740747e-01,3.58360087e+01
2.26500000e+00,-1.42761485e+00,2.34066111e+00,5.93093032e-01,5.49010749e+01
2.27000000e+00,-1.42493615e+00,2.13350660e+00,6.15115433e-01,3.54273948e+01
2.27500000e+00,-1.41044227e+00,2.18558951e+00,5.75522098e-01,4.46872329e+01
2.28000000e+00,-1.39539086e+00,2.20618814e+00,5.27662497e-01,5.50802011e+01
2.28500000e+00,-1.39290036e+00,2.22254438e+00,5.42216328e-01,5.30767643e+01
2.29000000e+00,-1.37631125e+00,2.21099822e+00,4.90686665e-01,6.15110225e+01
2.29500000e+00,-1.36731431e+00,2.09754233e+00,4.75240548e-01,5.87946940e+01
2.30000000e+00,-1.35315562e+00,2.09211215e+00,4.26339466e-01,6.75599600e+01
2.30500000e+00,-1.34593672e+00,2.02965732e+00,4.18445115e-01,6.27170115e+01
2.31000000e+00,-1.33304858e+00,1.94178397e+00,3.79190126e-01,6.08876927e+01
2.31500000e+00,-1.32647184e+00,1.86724875e+00,3.71028215e-01,6.03606976e+01
2.32000000e+00,-1.31626315e+00,1.86508266e+00,3.51191000e-01,5.62897104e+01
2.32500000e+00,-1.30934682e+00,1.80205130e+00,3.39665146e-01,5.76588359e+01
2.33000000e+00,-1.30054835e+00,1.67862271e+00,3.19696321e-01,5.28442781e+01
2.33500000e+00,-1.29046846e+00,1.63883133e+00,2.90146378e-01,4.96377045e+01
2.34000000e+00,-1.28538532e+00,1.58805395e+00,2.98372135e-01,4.71657789e+01
2.34500000e+00,-1.27505990e+00,1.46389711e+00,2.65960837e-01,4.31652098e+01
2.35000000e+00,-1.26829485e+00,1.46475131e+00,2.59108812e-01,4.22849850e+01
2.35500000e+00,-1.26018267e+00,1.42103414e+00,2.34032279e-01,3.94803423e+01
2.36000000e+00,-1.25397699e+00,1.38020029e+00,2.29599853e-01,3.58207336e+01
2.36500000e+00,-1.24772493e+00,1.30408394e+00,2.20479274e-01,3.37659739e+01
2.37000000e+00,-1.24168507e+00,1.32030696e+00,2.18970499e-01,3.35716023e+01
2.37500000e+00,-1.23345793e+00,1.26490785e+00,1.93247025e-01,2.75943498e+01
2.38000000e+00,-1.22807381e+00,1.25661594e+00,1.96250899e-01,2.87995775e+01
2.38500000e+00,-1.22319098e+00,1.25450086e+00,1.95430303e-01,2.85329642e+01
2.39000000e+00,-1.21583184e+00,1.19130821e+00,1.81616731e-01,2.56011154e+01
2.39500000e+00,-1.20870711e+00,1.12568005e+00,1.65365108e-01,2.13067652e+01
2.40000000e+00,-1.20368606e+00,1.12857134e+00,1.66886625e-01,2.16433774e+01
2.40500000e+00,-1.19819423e+00,1.12702238e+00,1.58683975e-01,2.00352406e+01
2.41000000e+00,-1.19374427e+00,1.10906733e+00,1.65820222e-01,2.07012965e+01
2.41500000e+00,-1.18819405e+00,1.09016467e+00,1.59516127e-01,1.91182623e+01
2.42000000e+00,-1.18293551e+00,1.05597836e+00,1.53690225e-01,1.79710824e+01
2.42500000e+00,-1.17752525e+00,1.05445772e+00,1.49316536e-01,1.73056289e+01
2.43000000e+00,-1.17186767e+00,1.04095082e+00,1.46488710e-01,1.64806985e+01
2.43500000e+00,-1.16784946e+00,1.01717455e+00,1.45304310e-01,1.55129955e+01
2.44000000e+00,-1.16137443e+00,9.98250021e-01,1.36523525e-01,1.40880739e+01
2.44500000e+00,-1.15670158e+00,9.91153899e-01,1.34468769e-01,1.41504144e+01
