Temperature, Emean, Cv, Mabsmean, X
2.00000000e+00,-1.74509700e+00,7.66891384e-01,9.09725171e-01,1.38015448e+00
2.00500000e+00,-1.74133188e+00,7.69516812e-01,9.07580079e-01,1.62292202e+00
2.01000000e+00,-1.73788940e+00,7.57436659e-01,9.07533938e-01,5.08485427e-01
2.01500000e+00,-1.73424896e+00,7.74835920e-01,9.05791320e-01,5.70632723e-01
2.02000000e+00,-1.73028940e+00,7.71556609e-01,9.03943228e-01,5.90888246e-01
2.02500000e+00,-1.72667060e+00,8.14509026e-01,9.00943062e-01,1.52188509e+00
2.03000000e+00,-1.72273065e+00,8.13964509e-01,8.99427482e-01,1.34254199e+00
2.03500000e+00,-1.71876187e+00,8.07917063e-01,8.98096044e-01,1.07920263e+00
2.04000000e+00,-1.71525411e+00,8.06682795e-01,8.96995030e-01,5.82792260e-01
2.04500000e+00,-1.71037735e+00,8.45139010e-01,8.93837003e-01,9.84035166e-01
2.05000000e+00,-1.70671302e+00,8.40742896e-01,8.92260277e-01,1.00156652e+00
2.05500000e+00,-1.70169848e+00,8.71971876e-01,8.89240916e-01,9.90286946e-01
2.06000000e+00,-1.69832479e+00,8.72855589e-01,8.88425264e-01,6.73999081e-01
2.06500000e+00,-1.69396711e+00,8.58816288e-01,8.86041524e-01,7.94369054e-01
2.07000000e+00,-1.68970102e+00,8.84348422e-01,8.83351214e-01,9.28164203e-01
2.07500000e+00,-1.68552156e+00,8.99058147e-01,8.81810114e-01,8.32379013e-01
2.08000000e+00,-1.68047337e+00,8.96923449e-01,8.79095039e-01,7.56416238e-01
2.08500000e+00,-1.67649514e+00,9.20205311e-01,8.76258262e-01,1.27254459e+00
2.09000000e+00,-1.67148617e+00,9.48826825e-01,8.73764114e-01,1.15986231e+00
2.09500000e+00,-1.66645377e+00,9.55294247e-01,8.71038390e-01,1.02522250e+00
2.10000000e+00,-1.66118301e+00,9.75914440e-01,8.67414119e-01,1.06355413e+00
2.10500000e+00,-1.65751059e+00,9.90003503e-01,8.65955635e-01,1.08189791e+00
2.11000000e+00,-1.65196722e+00,1.00055602e+00,8.62097333e-01,1.32434008e+00
2.11500000e+00,-1.64753726e+00,1.00776741e+00,8.60181805e-01,1.22539681e+00
2.12000000e+00,-1.64308369e+00,1.02078354e+00,8.58128879e-01,1.17091284e+00
2.12500000e+00,-1.63675656e+00,1.05835005e+00,8.52978107e-01,1.55815178e+00
2.13000000e+00,-1.63158264e+00,1.07279327e+00,8.48876658e-01,2.11117929e+00
2.13500000e+00,-1.62631333e+00,1.10243434e+00,8.46183099e-01,1.81175090e+00
2.14000000e+00,-1.62104072e+00,1.10121171e+00,8.43458414e-01,1.62586992e+00
2.14500000e+00,-1.61369666e+00,1.19140930e+00,8.35700417e-01,2.81716325e+00
2.15000000e+00,-1.60897700e+00,1.18726686e+00,8.33312593e-01,2.78377830e+00
2.15500000e+00,-1.60392102e+00,1.16929292e+00,8.30737519e-01,2.63902818e+00
2.16000000e+00,-1.59741648e+00,1.23481836e+00,8.24086743e-01,3.66448534e+00
2.16500000e+00,-1.59262816e+00,1.21123037e+00,8.23059439e-01,2.66761397e+00
2.17000000e+00,-1.58572822e+00,1.25614802e+00,8.17390605e-01,3.11302412e+00
2.17500000e+00,-1.58048403e+00,1.25733047e+00,8.14653381e-01,2.54218249e+00
2.18000000e+00,-1.57250653e+00,1.33792189e+00,8.04379611e-01,4.51330929e+00
2.18500000e+00,-1.56750304e+00,1.29870075e+00,8.04663460e-01,3.10279648e+00
2.19000000e+00,-1.56058206e+00,1.36313672e+00,7.97856738e-01,3.62408808e+00
2.19500000e+00,-1.55056523e+00,1.44714086e+00,7.83934696e-01,5.80468596e+00
2.20000000e+00,-1.54689921e+00,1.40538756e+00,7.84721669e-01,5.47704620e+00
2.20500000e+00,-1.54054071e+00,1.41502973e+00,7.80988685e-01,4.17473755e+00
2.21000000e+00,-1.53337683e+00,1.44525835e+00,7.74404706e-01,4.57341091e+00
2.21500000e+00,-1.52574766e+00,1.48475804e+00,7.66363543e-01,5.77882478e+00
2.22000000e+00,-1.51737796e+00,1.57388865e+00,7.54543912e-01,7.71932383e+00
2.22500000e+00,-1.50919211e+00,1.59053584e+00,7.46906112e-01,7.41962610e+00
2.23000000e+00,-1.50071251e+00,1.65852142e+00,7.36823942e-01,9.31046004e+00
2.23500000e+00,-1.48911373e+00,1.76053696e+00,7.14989231e-01,1.33021925e+01
2.24000000e+00,-1.48468924e+00,1.69777634e+00,7.20168391e-01,9.76568288e+00
2.24500000e+00,-1.47787011e+00,1.72882927e+00,7.12588563e-01,1.09224354e+01
2.25000000e+00,-1.46564729e+00,1.81306617e+00,6.88594590e-01,1.50163780e+01
2.25500000e+00,-1.45797565e+00,1.83609347e+00,6.81319513e-01,1.51499620e+01
2.26000000e+00,-1.44644317e+00,1.88634474e+00,6.60311815e-01,1.85882475e+01
2.26500000e+00,-1.43938454e+00,1.92322396e+00,6.51821664e-01,1.91429893e+01
2.27000000e+00,-1.42872412e+00,1.95079604e+00,6.35633425e-01,2.02657267e+01
2.27500000e+00,-1.42024691e+00,1.91735739e+00,6.27997003e-01,1.93345710e+01
2.28000000e+00,-1.40739407e+00,2.03786495e+00,5.95286554e-01,2.59402689e+01
2.28500000e+00,-1.40220327e+00,1.98710892e+00,5.97210798e-01,2.36855052e+01
2.29000000e+00,-1.38991821e+00,2.05174694e+00,5.68765906e-01,2.75629732e+01
2.29500000e+00,-1.37501347e+00,2.01358655e+00,5.36663455e-01,2.90267598e+01
2.30000000e+00,-1.37078693e+00,1.97175094e+00,5.38660488e-01,2.78552609e+01
2.30500000e+00,-1.35511792e+00,1.94636740e+00,5.00866386e-01,3.01151149e+01
2.31000000e+00,-1.34823573e+00,1.89975036e+00,4.95717658e-01,2.91785901e+01
2.31500000e+00,-1.33758956e+00,1.87644148e+00,4.69534905e-01,3.04273430e+01
2.32000000e+00,-1.33122636e+00,1.93556566e+00,4.66135550e-01,3.08612469e+01
2.32500000e+00,-1.32062053e+00,1.81275773e+00,4.45578936e-01,2.98227296e+01
2.33000000e+00,-1.30673578e+00,1.73139120e+00,4.04538532e-01,3.05072556e+01
2.33500000e+00,-1.30231653e+00,1.77302500e+00,4.05373209e-01,3.07779007e+01
2.34000000e+00,-1.29439809e+00,1.73327978e+00,3.97782300e-01,2.88250953e+01
2.34500000e+00,-1.28210151e+00,1.58524253e+00,3.67297608e-01,2.70971982e+01
