Temperature, Emean, Cv, Mabsmean, X
2.00000000e+00,-1.74365590e+00,1.12044374e+00,8.94738362e-01,6.11878699e+01
2.00500000e+00,-1.73654175e+00,1.72536843e+00,8.54610774e-01,1.92434080e+02
2.01000000e+00,-1.73795207e+00,8.78328249e-01,9.06904325e-01,3.41272078e+00
2.01500000e+00,-1.73367905e+00,9.29933478e-01,9.02238301e-01,1.10743497e+01
2.02000000e+00,-1.73037781e+00,8.99899557e-01,9.01615744e-01,7.31406594e+00
2.02500000e+00,-1.72640076e+00,9.21891238e-01,9.00484124e-01,5.03016887e+00
2.03000000e+00,-1.72243975e+00,9.14034761e-01,8.99347528e-01,3.85881265e+00
2.03500000e+00,-1.71867861e+00,9.20749974e-01,8.96736458e-01,4.68438960e+00
2.04000000e+00,-1.71472039e+00,9.29236032e-01,8.95900657e-01,2.55124288e+00
2.04500000e+00,-1.71042816e+00,9.26869336e-01,8.93883320e-01,2.32769830e+00
2.05000000e+00,-1.70685722e+00,9.40424930e-01,8.91945120e-01,3.37865004e+00
2.05500000e+00,-1.70221450e+00,1.01679014e+00,8.88160158e-01,8.10519793e+00
2.06000000e+00,-1.69719930e+00,1.14124707e+00,8.80853547e-01,2.41014437e+01
2.06500000e+00,-1.69416649e+00,9.73150009e-01,8.85447882e-01,2.91692495e+00
2.07000000e+00,-1.68732308e+00,1.34592293e+00,8.61478923e-01,7.94705243e+01
2.07500000e+00,-1.68448624e+00,1.04280425e+00,8.78458266e-01,8.10932345e+00
2.08000000e+00,-1.68095488e+00,1.02009640e+00,8.78026227e-01,4.20814472e+00
2.08500000e+00,-1.67499307e+00,1.16119789e+00,8.69135482e-01,2.12545314e+01
2.09000000e+00,-1.67122206e+00,1.05450599e+00,8.73154242e-01,2.72070235e+00
2.09500000e+00,-1.66588317e+00,1.24882820e+00,8.58706104e-01,4.22174033e+01
2.10000000e+00,-1.66197759e+00,1.10703709e+00,8.66600803e-01,7.44105281e+00
2.10500000e+00,-1.65668768e+00,1.08429131e+00,8.64346955e-01,3.79406470e+00
2.11000000e+00,-1.65230390e+00,1.14102975e+00,8.61649342e-01,4.68366724e+00
2.11500000e+00,-1.64653083e+00,1.15759588e+00,8.55324250e-01,1.21389938e+01
2.12000000e+00,-1.64158442e+00,1.16333915e+00,8.54684761e-01,5.16549138e+00
2.12500000e+00,-1.63752795e+00,1.15107670e+00,8.53187377e-01,4.36347512e+00
2.13000000e+00,-1.63121287e+00,1.26914487e+00,8.46561785e-01,1.26121902e+01
2.13500000e+00,-1.62533333e+00,1.26406831e+00,8.41947335e-01,1.24639837e+01
2.14000000e+00,-1.62021916e+00,1.26834206e+00,8.38299375e-01,1.38651420e+01
2.14500000e+00,-1.61436330e+00,1.37756000e+00,8.28225350e-01,3.71108038e+01
2.15000000e+00,-1.60951681e+00,1.21044677e+00,8.35433940e-01,2.96632527e+00
2.15500000e+00,-1.60379398e+00,1.27086680e+00,8.29680814e-01,7.81033658e+00
2.16000000e+00,-1.59574678e+00,1.64284720e+00,8.06266246e-01,6.72343980e+01
2.16500000e+00,-1.59094006e+00,1.40226863e+00,8.15921627e-01,1.84166499e+01
2.17000000e+00,-1.58480572e+00,1.48553747e+00,8.07856406e-01,3.33368682e+01
2.17500000e+00,-1.57963967e+00,1.35797803e+00,8.12977322e-01,3.95732333e+00
2.18000000e+00,-1.57038515e+00,1.71783583e+00,7.89428222e-01,5.66662127e+01
2.18500000e+00,-1.56735293e+00,1.38171043e+00,8.02976181e-01,5.29869112e+00
2.19000000e+00,-1.55960650e+00,1.53369469e+00,7.91596020e-01,2.13192892e+01
2.19500000e+00,-1.55166842e+00,1.64196331e+00,7.79811766e-01,3.50198890e+01
2.20000000e+00,-1.54502782e+00,1.44556102e+00,7.80274855e-01,7.23245048e+00
2.20500000e+00,-1.53683214e+00,1.77056090e+00,7.53821725e-01,7.29990206e+01
2.21000000e+00,-1.53056974e+00,1.68885921e+00,7.62975188e-01,2.53935886e+01
2.21500000e+00,-1.52177636e+00,1.72922221e+00,7.50945562e-01,2.66956114e+01
2.22000000e+00,-1.51617800e+00,1.62270257e+00,7.52700333e-01,1.17134714e+01
2.22500000e+00,-1.50889964e+00,1.65435572e+00,7.43885088e-01,1.27395517e+01
2.23000000e+00,-1.49914099e+00,1.83872332e+00,7.21850492e-01,3.93518497e+01
2.23500000e+00,-1.48698441e+00,2.03426777e+00,6.96339518e-01,4.23103875e+01
2.24000000e+00,-1.48208965e+00,1.94262727e+00,7.09006207e-01,1.91205674e+01
2.24500000e+00,-1.46997697e+00,2.34226043e+00,6.68137930e-01,7.01590555e+01
2.25000000e+00,-1.46125155e+00,2.10216196e+00,6.63408085e-01,4.89538030e+01
2.25500000e+00,-1.45049223e+00,2.36150341e+00,6.25069238e-01,1.00337733e+02
2.26000000e+00,-1.43891576e+00,2.58435454e+00,5.93682002e-01,1.37779479e+02
2.26500000e+00,-1.42780448e+00,2.62799303e+00,5.66092766e-01,1.44551046e+02
2.27000000e+00,-1.41783424e+00,2.24004883e+00,5.70233259e-01,7.20548546e+01
2.27500000e+00,-1.40404628e+00,2.57851482e+00,5.09562658e-01,1.36963937e+02
2.28000000e+00,-1.39362938e+00,2.40768705e+00,4.80495425e-01,1.39132010e+02
2.28500000e+00,-1.37962637e+00,2.41902168e+00,4.32923669e-01,1.46392007e+02
2.29000000e+00,-1.37103476e+00,2.26064887e+00,4.00321347e-01,1.56809688e+02
2.29500000e+00,-1.35712719e+00,2.14868099e+00,3.57668902e-01,1.42162445e+02
2.30000000e+00,-1.35000615e+00,2.15208902e+00,3.39982200e-01,1.50040923e+02
2.30500000e+00,-1.34016453e+00,1.99775401e+00,3.14495009e-01,1.28678211e+02
2.31000000e+00,-1.32865938e+00,1.88062028e+00,2.86194780e-01,1.21124960e+02
2.31500000e+00,-1.31924056e+00,1.81246234e+00,2.45733929e-01,1.16979746e+02
2.32000000e+00,-1.31011503e+00,1.65614506e+00,2.20823191e-01,8.94156013e+01
2.32500000e+00,-1.30026404e+00,1.56264068e+00,1.83851750e-01,7.72223488e+01
2.33000000e+00,-1.29336826e+00,1.49048081e+00,1.77572339e-01,6.79091099e+01
2.33500000e+00,-1.28696909e+00,1.49144466e+00,1.79615306e-01,6.85471465e+01
2.34000000e+00,-1.27884883e+00,1.42514062e+00,1.57933940e-01,5.62828752e+01
2.34500000e+00,-1.27333399e+00,1.40164090e+00,1.72852459e-01,6.21590667e+01
2.35000000e+00,-1.26630478e+00,1.38730993e+00,1.57154662e-01,5.22452346e+01
2.35500000e+00,-1.25932131e+00,1.32369870e+00,1.52786078e-01,4.62299741e+01
2.36000000e+00,-1.25189720e+00,1.29675923e+00,1.33925212e-01,4.11085388e+01
2.36500000e+00,-1.24658386e+00,1.25152751e+00,1.30503127e-01,3.71039283e+01
2.37000000e+00,-1.23979421e+00,1.25693990e+00,1.24449504e-01,3.32398127e+01
2.37500000e+00,-1.23290941e+00,1.24217602e+00,1.15594726e-01,3.27520885e+01
2.38000000e+00,-1.22755794e+00,1.19532895e+00,1.13148018e-01,2.92201977e+01
2.38500000e+00,-1.22082641e+00,1.18486168e+00,1.09276271e-01,2.75477179e+01
2.39000000e+00,-1.21590628e+00,1.15716182e+00,1.10387696e-01,2.68683553e+01
2.39500000e+00,-1.21029532e+00,1.12546839e+00,1.05155630e-01,2.42360645e+01
2.40000000e+00,-1.20381563e+00,1.14087096e+00,1.01852879e-01,2.41547483e+01
2.40500000e+00,-1.19821053e+00,1.11535278e+00,9.46954618e-02,2.03151509e+01
2.41000000e+00,-1.19342933e+00,1.09462739e+00,9.57555456e-02,2.09590760e+01
2.41500000e+00,-1.18744476e+00,1.09644633e+00,9.60963813e-02,2.07928209e+01
2.42000000e+00,-1.18222905e+00,1.05688574e+00,8.88679078e-02,1.87346700e+01
2.42500000e+00,-1.17698069e+00,1.04928289e+00,8.84616273e-02,1.76487483e+01
2.43000000e+00,-1.17198101e+00,1.04491384e+00,8.41855960e-02,1.63868940e+01
2.43500000e+00,-1.16671628e+00,9.97926307e-01,8.35635627e-02,1.52414116e+01
2.44000000e+00,-1.16198133e+00,1.00313471e+00,8.17823673e-02,1.59076468e+01
2.44500000e+00,-1.15659430e+00,1.00224259e+00,7.61298606e-02,1.31366698e+01
2.45000000e+00,-1.15149949e+00,9.58390206e-01,7.59837566e-02,1.29985294e+01
2.45500000e+00,-1.14734920e+00,9.64630181e-01,7.48051725e-02,1.33037082e+01
2.46000000e+00,-1.14221011e+00,9.57131581e-01,7.61120600e-02,1.26695922e+01
2.46500000e+00,-1.13745426e+00,9.32573852e-01,7.26441851e-02,1.23407453e+01
2.47000000e+00,-1.13316804e+00,9.23530113e-01,7.14384902e-02,1.17463027e+01
2.47500000e+00,-1.12837737e+00,9.27580987e-01,7.04651323e-02,1.11174412e+01
2.48000000e+00,-1.12349180e+00,9.03928694e-01,6.86091131e-02,1.06394023e+01
2.48500000e+00,-1.11948967e+00,8.94728056e-01,6.70401064e-02,1.01791835e+01
2.49000000e+00,-1.11510487e+00,8.86913670e-01,6.58167743e-02,9.68708194e+00
2.49500000e+00,-1.11053207e+00,8.75330440e-01,6.63539082e-02,9.77059548e+00
2.50000000e+00,-1.10623348e+00,8.66826224e-01,6.28119906e-02,8.85926712e+00
2.50500000e+00,-1.10162097e+00,8.65145529e-01,6.33453277e-02,8.95309107e+00
2.51000000e+00,-1.09743187e+00,8.42995358e-01,6.05790562e-02,8.25422569e+00
2.51500000e+00,-1.09380615e+00,8.42024623e-01,6.18373715e-02,8.64758092e+00
2.52000000e+00,-1.08938745e+00,8.31943881e-01,5.92821938e-02,8.01099473e+00
2.52500000e+00,-1.08501064e+00,8.08621163e-01,5.87055291e-02,7.51464823e+00
2.53000000e+00,-1.08092065e+00,8.08786114e-01,5.67890325e-02,7.06845672e+00
2.53500000e+00,-1.07724464e+00,8.04015018e-01,5.57639522e-02,6.91307884e+00
2.54000000e+00,-1.07294833e+00,7.97933236e-01,5.58064155e-02,6.92709032e+00
2.54500000e+00,-1.06938969e+00,7.91522776e-01,5.47372466e-02,6.65550391e+00
2.55000000e+00,-1.06513619e+00,7.85241465e-01,5.44679580e-02,6.57421921e+00
2.55500000e+00,-1.06105838e+00,7.62982598e-01,5.28802291e-02,6.19708924e+00
2.56000000e+00,-1.05751472e+00,7.55234589e-01,5.21215179e-02,6.04344995e+00
2.56500000e+00,-1.05366408e+00,7.59146112e-01,5.23920185e-02,6.05947946e+00
2.57000000e+00,-1.05002396e+00,7.43824154e-01,5.12723976e-02,5.72381978e+00
2.57500000e+00,-1.04626164e+00,7.40366351e-01,5.03156143e-02,5.57131654e+00
2.58000000e+00,-1.04272866e+00,7.36147859e-01,4.96998602e-02,5.41310893e+00
2.58500000e+00,-1.03880569e+00,7.24203439e-01,4.99647757e-02,5.45851667e+00
2.59000000e+00,-1.03563650e+00,7.21712882e-01,4.90244643e-02,5.00790422e+00
2.59500000e+00,-1.03184282e+00,7.19231890e-01,4.85667639e-02,5.15492084e+00
2.60000000e+00,-1.02790215e+00,6.95897485e-01,4.81759715e-02,4.95216665e+00
