Temperature,Emean,Cv,Mabsmean,X
1.00000000e+00,-6.00000000e-01,0.00000000e+00,1.10000000e-01,0.00000000e+00
2.00000000e+00,-6.95000000e-01,-1.70975000e+01,1.32500000e-01,-1.10875000e+00
3.00000000e+00,-7.43333333e-01,-1.41041975e+01,1.33333333e-01,-1.56037037e+00
4.00000000e+00,-7.72500000e-01,-1.02964063e+01,1.35000000e-01,-1.33250000e+00
5.00000000e+00,-8.18000000e-01,-7.50598400e+00,1.27000000e-01,-1.14592000e+00
6.00000000e+00,-8.38333333e-01,-6.17262346e+00,1.18333333e-01,-8.71018519e-01
7.00000000e+00,-8.50000000e-01,-4.91090379e+00,1.05714286e-01,-6.31253644e-01
8.00000000e+00,-8.61250000e-01,-3.94563477e+00,9.43750000e-02,-4.43925781e-01
9.00000000e+00,-8.73333333e-01,-3.25020576e+00,9.05555556e-02,-3.46680384e-01
1.00000000e+01,-8.92000000e-01,-2.73321600e+00,8.40000000e-02,-2.79740000e-01
1.10000000e+01,-9.09090909e-01,-2.38152039e+00,8.09090909e-02,-2.29782119e-01
1.20000000e+01,-9.34166667e-01,-2.08516397e+00,7.91666667e-02,-1.98912037e-01
1.30000000e+01,-9.59230769e-01,-1.88875880e+00,8.34615385e-02,-1.71197087e-01
1.40000000e+01,-9.80000000e-01,-1.73223032e+00,8.17857143e-02,-1.83764577e-01
1.50000000e+01,-1.00266667e+00,-1.58076523e+00,7.96666667e-02,-1.64802963e-01
1.60000000e+01,-1.02062500e+00,-1.46510803e+00,7.96875000e-02,-1.48752441e-01
1.70000000e+01,-1.02941176e+00,-1.35524575e+00,7.94117647e-02,-1.40596377e-01
1.80000000e+01,-1.03277778e+00,-1.23533874e+00,8.19444444e-02,-1.29929698e-01
1.90000000e+01,-1.03473684e+00,-1.11958165e+00,8.55263158e-02,-1.29064003e-01
2.00000000e+01,-1.03050000e+00,-1.01680525e+00,8.60000000e-02,-1.38895000e-01
2.10000000e+01,-1.03476190e+00,-9.17005774e-01,8.90476190e-02,-1.30629522e-01
2.20000000e+01,-1.03409091e+00,-8.44671983e-01,9.68181818e-02,-1.14564237e-01
2.30000000e+01,-1.02695652e+00,-7.72575427e-01,1.03043478e-01,-1.41106271e-01
2.40000000e+01,-1.02625000e+00,-7.01864511e-01,1.06666667e-01,-1.64560185e-01
2.50000000e+01,-1.02200000e+00,-6.46801920e-01,1.09800000e-01,-1.70992640e-01
2.60000000e+01,-1.02423077e+00,-5.94193568e-01,1.11346154e-01,-1.77424329e-01
2.70000000e+01,-1.02555556e+00,-5.54265779e-01,1.14259259e-01,-1.73602093e-01
2.80000000e+01,-1.02535714e+00,-5.17449045e-01,1.18928571e-01,-1.71432216e-01
2.90000000e+01,-1.02344828e+00,-4.82759356e-01,1.20862069e-01,-1.86918693e-01
3.00000000e+01,-1.02633333e+00,-4.49906716e-01,1.27166667e-01,-1.72907037e-01
3.10000000e+01,-1.03096774e+00,-4.24031809e-01,1.31612903e-01,-1.94279145e-01
3.20000000e+01,-1.03468750e+00,-4.02050819e-01,1.38906250e-01,-1.89145813e-01
3.30000000e+01,-1.03636364e+00,-3.81284318e-01,1.43181818e-01,-2.19700309e-01
3.40000000e+01,-1.04205882e+00,-3.60342399e-01,1.48088235e-01,-2.24748881e-01
3.50000000e+01,-1.04685714e+00,-3.44188881e-01,1.53000000e-01,-2.34094694e-01
3.60000000e+01,-1.05277778e+00,-3.28469460e-01,1.57083333e-01,-2.46390818e-01
3.70000000e+01,-1.05891892e+00,-3.14690488e-01,1.61351351e-01,-2.52459479e-01
3.80000000e+01,-1.06789474e+00,-3.01612250e-01,1.64605263e-01,-2.62709396e-01
3.90000000e+01,-1.07384615e+00,-2.91863834e-01,1.68076923e-01,-2.66073433e-01
4.00000000e+01,-1.08025000e+00,-2.80679391e-01,1.72875000e-01,-2.66457656e-01
4.10000000e+01,-1.08707317e+00,-2.70461840e-01,1.77682927e-01,-2.75436079e-01
4.20000000e+01,-1.09166667e+00,-2.61389249e-01,1.83214286e-01,-2.81572319e-01
4.30000000e+01,-1.09720930e+00,-2.51537273e-01,1.89651163e-01,-2.88805891e-01
4.40000000e+01,-1.10204545e+00,-2.42872296e-01,1.96022727e-01,-3.03676864e-01
4.50000000e+01,-1.10577778e+00,-2.34449831e-01,2.00888889e-01,-3.24703320e-01
4.60000000e+01,-1.10760870e+00,-2.26089270e-01,2.03586957e-01,-3.40447419e-01
4.70000000e+01,-1.10914894e+00,-2.17398973e-01,2.07234043e-01,-3.40033422e-01
4.80000000e+01,-1.11020833e+00,-2.09119655e-01,2.11145833e-01,-3.44433684e-01
4.90000000e+01,-1.10877551e+00,-2.01134471e-01,2.14591837e-01,-3.51858919e-01
5.00000000e+01,-1.10880000e+00,-1.92767270e-01,2.18100000e-01,-3.56204880e-01
5.10000000e+01,-1.11078431e+00,-1.85333941e-01,2.22745098e-01,-3.57302470e-01
5.20000000e+01,-1.11153846e+00,-1.79006666e-01,2.25288462e-01,-3.71779486e-01
5.30000000e+01,-1.11452830e+00,-1.72551265e-01,2.28867925e-01,-3.70799989e-01
5.40000000e+01,-1.11648148e+00,-1.67210965e-01,2.31481481e-01,-3.78136971e-01
5.50000000e+01,-1.11836364e+00,-1.61808318e-01,2.35272727e-01,-3.76969136e-01
5.60000000e+01,-1.12142857e+00,-1.56618108e-01,2.38750000e-01,-3.83569834e-01
5.70000000e+01,-1.12508772e+00,-1.52020812e-01,2.42894737e-01,-3.86242245e-01
5.80000000e+01,-1.12879310e+00,-1.47825832e-01,2.46810345e-01,-3.93839487e-01
5.90000000e+01,-1.13118644e+00,-1.43894912e-01,2.50423729e-01,-4.00851548e-01
6.00000000e+01,-1.13183333e+00,-1.39803522e-01,2.54750000e-01,-4.03750417e-01
6.10000000e+01,-1.13426230e+00,-1.35414344e-01,2.58934426e-01,-4.11692476e-01
6.20000000e+01,-1.13822581e+00,-1.31617259e-01,2.62903226e-01,-4.19385804e-01
6.30000000e+01,-1.14047619e+00,-1.28463552e-01,2.66428571e-01,-4.26987006e-01
6.40000000e+01,-1.14218750e+00,-1.25017405e-01,2.68906250e-01,-4.34301910e-01
6.50000000e+01,-1.14353846e+00,-1.21600457e-01,2.70538462e-01,-4.37092909e-01
6.60000000e+01,-1.14424242e+00,-1.18258463e-01,2.71893939e-01,-4.36137442e-01
6.70000000e+01,-1.14582090e+00,-1.14910637e-01,2.72686567e-01,-4.34516247e-01
6.80000000e+01,-1.14617647e+00,-1.11902216e-01,2.73014706e-01,-4.30925001e-01
6.90000000e+01,-1.14710145e+00,-1.08768989e-01,2.72826087e-01,-4.25822398e-01
7.00000000e+01,-1.14857143e+00,-1.05868971e-01,2.73428571e-01,-4.19118192e-01
7.10000000e+01,-1.15014085e+00,-1.03190907e-01,2.74436620e-01,-4.14867886e-01
7.20000000e+01,-1.15402778e+00,-1.00569346e-01,2.75625000e-01,-4.12050781e-01
7.30000000e+01,-1.15657534e+00,-9.85602749e-02,2.75684932e-01,-4.10565528e-01
7.40000000e+01,-1.15770270e+00,-9.63840153e-02,2.75540541e-01,-4.05262719e-01
